Symbol,Dataset
AWK,http://www.amwater.com
MTD,http://www.mt.com
WCN,http://www.wasteconnections.com
IBKR,http://www.interactivebrokers.com
MPC,http://www.marathonpetroleum.com
NTR,http://www.nutrien.com
BBY,http://investors.bestbuy.com/investor-relations/overview/default.aspx
WLTW,http://www.willistowerswatson.com
SU,http://www.suncor.com
FWONA,http://www.libertymedia.com/companies/formula-one-group.html
DAL,http://www.delta.com
WELL,http://www.welltower.com
MT,http://corporate.arcelormittal.com
GMAB,http://www.genmab.com
HRL,http://www.hormelfoods.com
LSXMA,http://www.libertymedia.com/companies/liberty-siriusxm-group.html
TU,http://www.telus.com
SLF,http://www.sunlife.com
BATRA,http://www.libertymedia.com/companies/braves-group.html
SWKS,http://www.skyworksinc.com
STT,http://www.statestreet.com
STNE,http://www.stone.co
CLX,http://www.thecloroxcompany.com
LI,http://www.lixiang.com
DHI,http://www.drhorton.com
DLTR,http://www.dollartree.com
WY,http://www.weyerhaeuser.com
FRC,http://www.firstrepublic.com
MKC,http://www.mccormickcorporation.com
PCG,http://www.pgecorp.com
VRSN,http://www.verisign.com
COUP,http://www.coupa.com
WMB,http://www.williams.com
KEYS,http://www.keysight.com
FMS,http://www.freseniusmedicalcare.com
WORK,http://slack.com
FTNT,http://www.fortinet.com
ED,http://www.conedison.com
W,http://www.wayfair.com
YNDX,http://ir.yandex.com
ZTO,http://www.zto.com
YUMC,http://www.yumchina.com
KR,http://www.thekrogerco.com
FNV,http://www.franco-nevada.com
CERN,http://www.cerner.com
ARE,http://www.are.com
AJG,http://www.ajg.com
QS,http://www.quantumscape.com
FMX,http://www.femsa.com
EFX,http://www.equifax.com
RCI,http://www.rogers.com
LEN,http://www.lennar.com
TSN,http://www.tysonfoods.com
EIX,http://www.edison.com
DB,http://www.db.com
FTV,http://www.fortive.com
CUK,http://www.carnivalcorp.com
GRMN,http://www.garmin.com
TTWO,http://www.take2games.com
CCL,http://www.carnivalcorp.com
NET,http://www.cloudflare.com
MXIM,http://www.maximintegrated.com
DTE,http://newlook.dteenergy.com
BGNE,http://www.beigene.com
FLT,http://www.fleetcor.com
VIAC,http://www.viacomcbs.com
ODFL,http://www.odfl.com
MPLX,http://www.mplx.com
MGA,http://www.magna.com
VLO,http://www.valero.com
ETSY,http://www.etsy.com
RYAAY,http://www.ryanair.com
AMP,http://www.ameriprise.com
XP,http://www.xpinc.com
AVB,http://www.avalonbay.com
TEF,http://www.telefonica.com
ENPH,http://www.enphase.com
Z,http://www.zillowgroup.com
VTRS,http://www.viatris.com
GWW,http://www.grainger.com
NOK,http://www.nokia.com
BNTX,http://www.biontech.de
ANET,http://www.arista.com
EXAS,http://www.exactsciences.com
MDB,http://www.mongodb.com
CHD,http://www.churchdwight.com
BKR,http://www.bakerhughes.com
EQR,http://www.equityapartments.com
CCEP,http://www.cocacolaep.com
MKTX,http://www.marketaxess.com
O,http://www.realtyincome.com
K,http://www.kelloggcompany.com
UMC,http://www.umc.com
FTCH,http://aboutfarfetch.com
PKX,http://www.posco.com
CBRE,http://www.cbre.com
NDAQ,http://www.nasdaq.com
BEPC,http://bep.brookfield.com/bepc
APO,http://www.apollo.com
PPL,http://www.pplweb.com
BIP,http://www.bip.brookfield.com
ATUS,http://www.alticeusa.com
ZBRA,http://www.zebra.com
WST,http://www.westpharma.com
SYF,http://www.synchrony.com
DKNG,http://www.draftkings.com
ABC,http://www.amerisourcebergen.com
LH,http://www.labcorp.com
FITB,http://www.53.com
SIVB,http://www.svb.com
EPAM,http://www.epam.com
WMG,http://www.wmg.com
IP,http://www.internationalpaper.com
NTRS,http://www.northerntrust.com
CHKP,http://www.checkpoint.com
VMC,http://www.vulcanmaterials.com
TCOM,http://www.trip.com
TER,http://www.teradyne.com
ETR,http://www.entergy.com
FTS,http://www.fortisinc.com
INCY,http://www.incyte.com
ROL,http://www.rollins.com
CDW,http://www.cdw.com
AEE,http://www.ameren.com
KSU,http://www.kcsouthern.com
QRVO,http://www.qorvo.com
HOLX,http://www.hologic.com
IR,http://www.irco.com
TRU,http://www.transunion.com
WPM,http://www.wheatonpm.com
ZI,http://www.zoominfo.com
TFX,http://www.teleflex.com
SSNC,http://www.ssctech.com
VTR,http://www.ventasreit.com
QSR,http://www.rbi.com
PXD,http://www.pxd.com
SNN,http://www.smith-nephew.com
SKM,http://www.sktelecom.com
EXPE,http://www.expediagroup.com
HUBS,http://www.hubspot.com
AMCR,http://www.amcor.com
XYL,http://www.xylem.com
PAGS,http://www.pagseguro.uol.com.br
GIB,http://www.cgi.com
CAG,http://www.conagrabrands.com
DOV,http://www.dovercorporation.com
COO,http://www.coopercos.com
GDRX,http://www.goodrx.com
NICE,http://www.nice.com
AKAM,http://www.akamai.com
TYL,http://www.tylertech.com
CNHI,http://www.cnhindustrial.com
UI,http://www.ui.com
BR,http://www.broadridge.com
MLM,http://www.martinmarietta.com
BURL,http://www.burlingtoninvestors.com
HIG,http://www.thehartford.com
FOXA,http://www.foxcorporation.com
NVCR,http://www.novocure.com
PODD,http://www.insulet.com
BIO,http://www.bio-rad.com
VIPS,http://www.vip.com
OKE,http://www.oneok.com
AEM,http://www.agnicoeagle.com
ET,http://energytransfer.com
FOX,http://www.foxcorporation.com
HAL,http://www.halliburton.com
CTLT,http://www.catalent.com
HEI,http://www.heico.com
DISH,http://www.dish.com
TSCO,http://www.tractorsupply.com
CMS,http://www.cmsenergy.com
TRMB,http://www.trimble.com
LOGI,http://www.logitech.com
RCL,http://www.rclinvestor.com
KB,http://www.kbfg.com
NMR,http://www.nomura.com
HES,http://www.hess.com
OXY,http://www.oxy.com
SEDG,http://www.solaredge.com
CTXS,http://www.citrix.com
ZEN,http://www.zendesk.com
URI,http://www.unitedrentals.com
LYV,http://www.livenationentertainment.com
MTB,http://www.mtb.com
LYFT,http://www.lyft.com
INVH,http://www.InvitationHomes.com
CQP,http://cqpir.cheniere.com
MPWR,http://www.monolithicpower.com
EXPD,http://www.expeditors.com
STX,http://www.seagate.com
DPZ,http://www.dominos.com/index.intl.html
DGX,http://www.questdiagnostics.com
KEY,http://www.key.com
PEAK,http://www.healthpeak.com
ALB,http://www.albemarle.com
VAR,http://www.varian.com
ULTA,http://www.ulta.com
FE,http://www.firstenergycorp.com
BMRN,http://www.biomarin.com
CDAY,http://www.ceridian.com
